name,author,types,popularity,
我的守护女友,阅文漫画,丧尸,119.6亿,
超神从调教六个,软糖骑士,系统,964.7万,
最强唐玄奘,超漫细菌,穿越,16.1亿,
解战袍,拂晓联盟 x 哈漫文化 x 扶摇文化,古风,1645.2万,
异界超级赘婿,小桐,古风,16.6亿,
代嫁丞相,漫工厂 x 老狐狸,古风,127.1亿,
不努力就要当皇,美滋滋 x 六花漫创,逆袭,10亿,
万恶魔头五岁半,漫星球,古风,3.8亿,
尸兄（我叫白小,七度魚,末日,299.4亿,
我老婆是魔王大,拾部君 x D·W,穿越,64亿,
恶者为王,星空社,重生,2.3亿,
抱歉我拿的是女,阅文漫画,职场,41.2亿,
黑背信天翁,yaua,职场,2.2亿,
惹火狂妃：王爷,阿柯文化,大女主,846.4万,
皇弟，莫提刀,岛上Project,古风,20.9亿,
龙厨,星空社,美食,6.5亿,
我在末世当网管,有马文化,穿越,2.2亿,
铁姬钢兵,白辰广,机甲,82.7亿,
魔皇师弟实在太,三清鸟漫画,后宫,6.3亿,
侯门少爷宠上天,喵姬互娱 x 随意的笔名,古风,4837.1万,
抱歉，有系统真,阅文漫画 x 奇喵屋工作室-喵菌,系统,2397万,
热搜危机,百川社,重生,2.6亿,
从前有座灵剑山,鲜漫文化 x 猪画,古风,81.4亿,
万魂豪婿,有鹿文化,后宫,11.9亿,
沧元图,神漫君,战斗,10.2亿,
亿界入侵,有欧气工厂,系统,6亿,
独家占有：姬少,阿柯文化,大女主,1658.1万,
魔王勇者,三昧漫画,穿越,2068.9万,
妖怪酒馆,目八,古风,14.6亿,
灵笼·月魁传,艺画开天,末日,1.1亿,
爆宠小萌妃,美滋滋,古风,5.4亿,
千帐灯,九川动漫 x 一墨 x 郑九川,古风,14.4亿,
斗厌神,赵伯通,灵异,7381.8万,
据说我是合欢宗,优时文化,大女主,5.9亿,
高能来袭,野比小培,系统,13.1亿,
男生宿舍303,星空社,脑洞,5.2亿,
问丹朱,阅文漫画 x 瓶子,大女主,622.5万,
这个王妃路子野,插电动漫,古风,8亿,
逆天神妃至上,阅文漫画 x 缘漫动漫-缘娘,古风,8887.6万,
今天拒绝陆先生,iCiyuan动漫,总裁,5353.5万,
似锦,阅文漫画,大女主,17.9亿,
电竞大神暗恋我,阅文漫画,大女主,9.1亿,
金屋藏骄,脑回路文化,古风,1693.9万,
万古最强宗,阅文漫画,古风,2.3亿,
全球高武,阅文漫画,穿越,23.9亿,
怪兽8号,翻翻动漫,战斗,1719.1万,
恶女为帝,吃饱饭工厂 x 尚灵烟大师姐,古风,48.2亿,
男主和后宫都是,Neoman,后宫,1963.1万,
