1.3219, 0.76%, 1.3219, 指数型-股票, 高风险， 10.38亿元（2021-12-31）, 孙伟, 2017-06-29, 南方基金, , 中证银行指数  , 0.09%
1.2201, 0.76%, 1.7849, 指数型-股票, 高风险， 2.70亿元（2021-12-31）, 胡洁, 2011-08-09, 华宝基金, , 中证银行指数  , 0.12%
1.7841, 0.90%, 1.2692, 指数型-股票, 高风险， 26.95亿元（2021-12-31）, 侯昊, 成 立 日, ：, 基金评级, 中证煤炭等权指数  , 0.26%
1.0105, 1.27%, 1.0105, 指数型-股票, 高风险， 0.03亿元（2021-12-31）, 龚佳佳, 2021-09-08, 建信基金, , 沪深300红利指数  , --
1.1180, 0.81%, 1.1180, 指数型-股票, 高风险， 0.36亿元（2021-12-31）, 赵菲, 2015-06-05, 中融基金, , 中证银行指数  , 0.13%
1.3060, 0.77%, 1.3920, 指数型-股票, 高风险， 15.13亿元（2021-12-31）, 王保合, 2015-04-30, 富国基金, , 中证银行指数  , 0.12%
1.3050, 0.77%, 1.3050, 指数型-股票, 高风险， 0.22亿元（2021-12-31）, 王保合, 2021-08-19, 富国基金, , 中证银行指数  , 0.12%
1.7831, 0.91%, 1.7831, 指数型-股票, 高风险， 0.74亿元（2021-12-31）, 侯昊, 成 立 日, ：, 基金评级, 中证煤炭等权指数  , 0.26%
1.2083, 0.77%, 1.2083, 指数型-股票, 高风险， 4.01亿元（2021-12-31）, 胡洁, 2018-11-27, 华宝基金, , 中证银行指数  , 0.12%
1.0967, 0.76%, 1.0967, 指数型-股票, 高风险， 1.71亿元（2021-12-31）, 过蓓蓓, 成 立 日, ：, 基金评级, 中证银行指数  , 0.11%
1.0942, 0.76%, 1.0942, 指数型-股票, 高风险， 4.09亿元（2021-12-31）, 过蓓蓓, 成 立 日, ：, 基金评级, 中证银行指数  , 0.11%
1.2571, -1.87%, 1.2571, 股票型, 高风险， 5.46亿元（2021-12-31）, 池陈森, 2021-01-12, 安信基金, , 基金评级, 暂无评级
0.9620, 1.76%, 0.9620, 指数型-股票, 高风险， 0.17亿元（2021-12-31）, 黄岳, 2021-08-03, 国泰基金, , 中证全指建筑材料指数  , --
1.0840, 1.03%, 3.0940, 指数型-股票, 高风险， 53.89亿元（2021-12-31）, 徐幼华, 成 立 日, ：, 基金评级, 中证红利指数  , 0.16%
0.9602, 1.76%, 0.9602, 指数型-股票, 高风险， 0.14亿元（2021-12-31）, 黄岳, 2021-08-03, 国泰基金, , 中证全指建筑材料指数  , --
1.2495, -1.86%, 1.2495, 股票型, 高风险， 5.70亿元（2021-12-31）, 池陈森, 2021-01-12, 安信基金, , 基金评级, 暂无评级
1.2300, 1.51%, 1.8181, 指数型-股票, 高风险， 0.13亿元（2021-12-31）, 刘伟琳, 2012-10-25, 工银瑞信基金, , 中证京津冀协同发展主题指数  , 0.11%
2.3495, 0.97%, 2.3495, 指数型-股票, 高风险， 1.16亿元（2021-12-31）, 杨坤, 2011-03-17, 万家基金, , 中证红利指数  , 0.14%
1.0760, 1.03%, 1.3360, 指数型-股票, 高风险， 2.83亿元（2021-12-31）, 徐幼华, 成 立 日, ：, 基金评级, 中证红利指数  , 0.16%
1.2118, 0.96%, 1.2588, 指数型-股票, 高风险， 3.31亿元（2021-12-31）, 林伟斌, 成 立 日, ：, 基金评级, 中证红利指数  , 0.11%
0.9960, 1.15%, 0.9960, 指数型-股票, 高风险， 0.18亿元（2021-12-31）, 陈士俊, 2017-04-27, 浦银安盛基金, , 中证锐联沪港深基本面100人民币指数  , 0.14%
1.2234, 1.51%, 1.2234, 指数型-股票, 高风险， 0.02亿元（2021-12-31）, 刘伟琳, 2018-04-17, 工银瑞信基金, , 中证京津冀协同发展主题指数  , 0.11%
1.2096, 0.96%, 1.2566, 指数型-股票, 高风险， 1.79亿元（2021-12-31）, 林伟斌, 成 立 日, ：, 基金评级, 中证红利指数  , 0.11%
2.2270, 1.00%, 2.3830, 指数型-股票, 高风险， 29.80亿元（2021-12-31）, 夏高, 成 立 日, ：, 基金评级, 中证红利指数  , 0.10%
2.2180, 1.00%, 2.2180, 指数型-股票, 高风险， 2.11亿元（2021-12-31）, 夏高, 成 立 日, ：, 基金评级, 中证红利指数  , 0.10%
2.4450, -0.29%, 2.4450, 股票型, 中高风险， 3.09亿元（2021-12-31）, 肖觅, 2016-12-29, 嘉实基金, , 嘉实基金, ：
1.1568, 1.01%, 1.1568, 指数型-股票, 高风险， 0.28亿元（2021-12-31）, 王紫菡, 2019-12-09, 嘉实基金, , 沪深300红利低波动指数  , 0.08%
2.4060, -0.25%, 2.4060, 股票型, 中高风险， 1.59亿元（2021-12-31）, 肖觅, 2016-12-29, 嘉实基金, , 嘉实基金, ：
1.7082, 1.58%, 1.7082, 指数型-股票, 高风险， 9.86亿元（2021-12-31）, 李直, 2009-12-30, 嘉实基金, , 中证锐联基本面50指数  , 0.09%
